(PRICE)

+----------------------------------+-------+--------+------------+--+
|           neighborhood           |  min  |  max   |    avg     |
+----------------------------------+-------+--------+------------+--+
| NULL                             | NULL  | NULL   | NULL       |
| Columbus circle                  | 13    | 13    | 13.0                |
| Downtown                         | 0     | 11    | 6.5                 |
| EAST 91ST                        | 6     | 6     | 6.0                 |
| East Harlem                      | 0     | 20    | 6.383177570093458   |
| East Village                     | 0     | 20    | 6.372670807453416   |
| FLAT IRON                        | 6     | 6     | 6.0                 |
| Financial District               | 0     | 15    | 5.958333333333333   |
| Flatiron                         | 0     | 8     | 4.285714285714286   |
| Flatiron District                | 9     | 9     | 9.0                 |
| Fort George                      | 5     | 8     | 6.6                 |
| Garment District                 | 4     | 6     | 5.0                 |
| Gramercy                         | 0     | 15    | 6.419354838709677   |
| Gramercy Park                    | 8     | 8     | 8.0                 |
| Greenwich Village                | 0     | 15    | 3.8076923076923075  |
| Hamilton Heights                 | 0     | 7     | 2.0                 |
| Harlem                           | 3     | 8     | 5.782608695652174   |
| Harlem                           | 0     | 17    | 7.338235294117647   |
| Hell's Kitchen                   | 3     | 8     | 6.5                 |
| Hells Kitchen                    | 4     | 4     | 4.0                 |
| In`wood                          | 0     | 0     | 0.0                 |
| Inwood                           | 0     | 8     | 3.8                 |
| Inwood                           | 0     | 20    | 8.35820895522388    |
| Kips Bay                         | 4     | 6     | 4.909090909090909   |
| Koreatown                        | 4     | 8     | 6.0                 |
| Las Vegas                        | 9     | 9     | 9.0                 |
| Little Italy                     | 3     | 5     | 4.0                 |
| Lower East Side                  | 0     | 19    | 5.794520547945205   |
| MANHATTAN                        | 0     | 0     | 0.0                 |
| MORNING SIDE                     | 8     | 8     | 8.0                 |
| Manhattan                        | 0     | 0     | 0.0                 |
| Manhattan                        | 0     | 0     | 0.0                 |
| Manhattan ny                     | 0     | 0     | 0.0                 |
| Midtown                          | 0     | 12    | 5.793103448275862   |
| Midtown Center                   | 4     | 8     | 7.2                 |
| Midtown East                     | 0     | 22    | 5.110091743119266   |
| Midtown West                     | 0     | 24    | 6.822916666666667   |
| Midtown east                     | 13    | 13    | 13.0                |
| Morningside Heights              | 4     | 4     | 4.0                 |
| Murray Hill                      | 0     | 17    | 4.591397849462366   |
| New York,                        | 0     | 0     | 0.0                 |
| NoLita                           | 3     | 5     | 4.0                 |
| Nolita                           | 0     | 17    | 7.565217391304348   |
| RIVERDALE                        | 8     | 8     | 8.0                 |
| Roosevelt Island                 | 0     | 5     | 2.5                 |
| SoHo                             | 3     | 17    | 6.56                |
| Soho                             | 6     | 6     | 6.0                 |
| Sutton Place                     | 3     | 7     | 4.666666666666667   |
| Theater District - Times Square  | 6     | 8     | 6.833333333333333   |
| TriBeCa                          | 3     | 13    | 5.37037037037037    |
| Tribeca                          | 5     | 8     | 6.5                 |
| Tudor City                       | 5     | 5     | 5.0                 |
| Union Square                     | 0     | 14    | 4.321428571428571   |
| Upper East Side                  | 0     | 24    | 6.176315789473684   |
| Upper Manhattan                  | 6     | 24    | 8.457142857142857   |
| Upper West Side                  | 0     | 18    | 6.333333333333333   |
| Upper east side                  | 5     | 5     | 5.0                 |
| Upper west side                  | 0     | 0     | 0.0                 |
| W. 185th Street                  | 0     | 0     | 0.0                 |
| Washington Heights               | 0     | 8     | 5.0                 |
| West Village                     | 0     | 15    | 4.635416666666667   |
| Yonkers                          | 14    | 14    | 14.0                |
| _Inwood_                         | 0     | 0     | 0.0                 |
| dunellen nj                      | 24    | 24    | 24.0                |
| murray hill                      | 4     | 4     | 4.0                 |
| upper east side                  | 4     | 5     | 4.5                 |
| upper west side                  | 3     | 5     | 4.0                 |
| uptown                           | 0     | 0     | 0.0                 |
| west village                     | 5     | 5     | 5.0                 |
+----------------------------------+-------+-------+---------------------+--+


(TEXT LENGTH)

+----------------------------------+-------+-------+---------------------+--+
|           neighborhood           |  min  |  max  |         avg         |
+----------------------------------+-------+-------+---------------------+--+
| NULL                             | NULL  | NULL  | NULL                |
|   Harlem                         | 73    | 73    | 73.0                |
|  Hamilton Heights                | 83    | 83    | 83.0                |
|  Harlem                          | 70    | 70    | 70.0                |
|  Harlem                          | 63    | 63    | 63.0                |
|  In`wood                         | 69    | 69    | 69.0                |
|  Inwood                          | 65    | 77    | 71.8                |
|  Inwood                          | 62    | 78    | 74.2                |
|  Manhattan                       | 59    | 85    | 71.625              |
|  Manhattan                       | 96    | 96    | 96.0                |
|  New York cty                    | 71    | 77    | 73.0                |
|  Washington Heights              | 74    | 88    | 82.0                |
|  uptown                          | 66    | 81    | 70.5                |
|  uptown                          | 76    | 76    | 76.0                |
| 214 W.96th St. 3A                | 64    | 64    | 64.0                |
| 257 W. 10th St. 1W               | 60    | 60    | 60.0                |
| 56 Beaver St.,102                | 68    | 68    | 68.0                |
| Astoria                          | 80    | 86    | 83.0                |
| Battery Park                     | 13    | 123   | 86.07692307692308   |
| Battery Park City                | 67    | 130   | 98.0                |
| Bowery                           | 55    | 82    | 70.5                |
| COLUMBUS CIRCLE                  | 101   | 101   | 101.0               |
| Central Park                     | 57    | 57    | 57.0                |
| Chelsea                          | 12    | 111   | 83.80952380952381   |
| Chinatown                        | 69    | 106   | 81.6                |
| Chinatown                        | 66    | 115   | 103.41666666666667  |
| Civic Center                     | 67    | 67    | 67.0                |
| Clinton                          | 35    | 111   | 80.125              |
| Columbus circle                  | 110   | 110   | 110.0               |
| Downtown                         | 69    | 103   | 87.2                |
| EAST 91ST                        | 12    | 12    | 12.0                |
| East Harlem                      | 12    | 124   | 84.29906542056075   |
| East Village                     | 12    | 116   | 87.88819875776397   |
| FLAT IRON                        | 69    | 69    | 69.0                |
| Financial District               | 12    | 131   | 99.35416666666667   |
| Flatiron                         | 12    | 122   | 83.67857142857143   |
| Flatiron District                | 98    | 98    | 98.0                |
| Fort George                      | 12    | 109   | 75.8                |
| Garment District                 | 69    | 76    | 72.5                |
| Gramercy                         | 12    | 111   | 82.08064516129032   |
| Gramercy Park                    | 90    | 98    | 94.0                |
| Greenwich Village                | 12    | 121   | 90.4423076923077    |
| Hamilton Heights                 | 71    | 120   | 83.4                |
| Harlem                           | 65    | 114   | 82.78260869565217   |
| Harlem                           | 12    | 124   | 98.41176470588235   |
| Hell's Kitchen                   | 90    | 105   | 95.0                |
| Hells Kitchen                    | 75    | 75    | 75.0                |
| In`wood                          | 66    | 77    | 70.0                |
| Inwood                           | 51    | 83    | 68.4                |
| Inwood                           | 13    | 121   | 93.8955223880597    |
| Kips Bay                         | 40    | 114   | 78.0909090909091    |
| Koreatown                        | 83    | 117   | 100.0               |
| Las Vegas                        | 113   | 113   | 113.0               |
| Little Italy                     | 56    | 87    | 71.5                |
| Lower East Side                  | 12    | 119   | 95.1917808219178    |
| MANHATTAN                        | 65    | 65    | 65.0                |
| MORNING SIDE                     | 97    | 97    | 97.0                |
| Manhattan                        | 58    | 84    | 75.33333333333333   |
| Manhattan                        | 68    | 68    | 68.0                |
| Manhattan ny                     | 83    | 83    | 83.0                |
| Midtown                          | 40    | 111   | 85.93103448275862   |
| Midtown Center                   | 74    | 91    | 80.8                |
| Midtown East                     | 12    | 125   | 89.63302752293578   |
| Midtown West                     | 12    | 122   | 90.50520833333333   |
| Midtown east                     | 105   | 105   | 105.0               |
| Morningside Heights              | 82    | 82    | 82.0                |
| Murray Hill                      | 12    | 124   | 92.88172043010752   |
| New York,                        | 74    | 74    | 74.0                |
| NoLita                           | 56    | 78    | 63.666666666666664  |
| Nolita                           | 12    | 112   | 87.8695652173913    |
| RIVERDALE                        | 81    | 81    | 81.0                |
| Roosevelt Island                 | 100   | 120   | 110.0               |
| SoHo                             | 12    | 109   | 79.88               |
| Soho                             | 73    | 73    | 73.0                |
| Sutton Place                     | 71    | 112   | 94.66666666666667   |
| Theater District - Times Square  | 12    | 144   | 90.33333333333333   |
| TriBeCa                          | 59    | 121   | 92.29629629629629   |
